id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
12231	stakeholder management	0.8947	0.5292	2	21	58	29	2012.3103	29.1034	1.2929
12257	stakeholder theory	1.0136	0.3988	2	42	145	82	2012.1585	44.7561	1.8197
12276	standard	-0.08	-0.8489	1	22	45	24	2012.4583	17.7917	0.7369
12573	supply chain	-0.7721	-0.2848	1	38	101	65	2012.3692	34.0769	1.4993
12583	supply chain management	-0.7803	0.3831	3	46	157	104	2012.1058	58.1731	2.7267
12619	sustainability	-0.5273	-0.1258	1	98	1145	1291	2012.3981	27.2115	1.2062
12719	sustainability report	0.8535	-0.4349	3	37	99	72	2012.5556	39.0139	1.8885
12795	sustainable development	-0.1693	0.5385	3	89	497	359	2011.9694	23.9721	1.0339
13300	tourism	-0.4798	-0.7481	1	26	44	26	2012.8846	24.8077	1.038
13458	transparency	0.5959	-0.6697	2	26	46	22	2012.1818	25.1364	1.1803
13529	triple bottom line	-0.2286	-0.0464	1	34	74	34	2012.4412	35.5588	1.6406
13553	trust	0.157	-0.6141	1	30	54	38	2011.8947	32.0789	1.3609
13659	united kingdom	-0.2872	0.765	3	41	107	56	2011.6429	20.0357	0.8174
13663	united states	-0.3413	0.3759	3	42	89	46	2011.8261	18.1522	0.7221
13842	values	-0.528	0.5604	1	26	56	36	2012.5556	25.8611	1.2728
