id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1005	corporate strategy	0.4158	-0.4386	4	25	41	19	2007.8421	31.2632	0.73
1006	corporate sustainability	-0.4852	0.3421	2	10	18	12	2008.5	79	2.1191
1015	corruption	-0.1599	0.4971	3	12	19	11	2007.7273	45.4545	0.8994
1083	csr	0.2508	0.2488	1	94	892	726	2007.8457	50.9256	1.2219
1117	culture	-0.3575	-0.3367	3	14	17	10	2007.3	55.3	1.1512
1186	decision making	-0.2125	-0.0861	2	16	25	15	2008.2667	28.8	0.7391
1246	developing country	-0.5348	-0.3247	2	29	48	29	2007.6207	44.0345	1.0746
1248	development	-0.9345	-0.3083	2	16	25	15	2007.8	32.0667	0.7973
1275	disclosure	0.9664	0.3491	4	12	20	11	2007.6364	19.2727	0.4394
1398	ecological footprint	-1.0331	-0.4059	2	9	17	24	2007.25	70.25	1.5996
1452	economic sustainability	0.4385	-0.7413	4	32	62	42	2007.5238	63.7381	1.5601
1580	energy	-1.0391	-0.1935	2	9	15	17	2007.8235	40.1176	1.0215
1626	entrepreneurialism	0.2491	-0.7481	4	14	19	16	2007.1875	39.1875	0.7973
1628	entrepreneurship	0.0616	-0.3221	2	14	24	15	2007.2667	81.8667	1.6573
1633	environment	-0.7883	-0.3803	2	27	51	36	2007.4167	65.3611	1.4709
1683	environmental management	-0.3298	-0.0578	2	27	52	35	2007.7429	58.1714	1.4712
1782	ethics	-0.0212	-0.1027	3	47	134	69	2007.7971	29.6522	0.6873
1803	europe	0.5466	-0.437	4	12	20	11	2007.4545	37.6364	0.8382
1808	european union	0.6173	-0.6695	4	12	18	11	2007.5455	24.7273	0.4938
1888	fair trade	-0.4731	-0.4604	2	11	22	13	2008	69.6923	1.8961
1946	financial performance	0.2276	0.8524	1	14	31	20	2007.9	71.65	1.6293
1956	finland	0.9108	0.4623	1	15	25	11	2007.2727	44.9091	0.964
2126	gender	0.0522	-0.4782	3	16	21	14	2007.2143	65.2143	1.4514
2155	germany	0.9285	0.2204	1	19	31	12	2007.3333	30.6667	0.6923
2214	globalization	-0.2173	0.2091	3	30	73	42	2007.6905	38.119	0.853
2219	governance	-0.6165	0.3295	3	34	79	51	2007.4902	40.3137	0.9023
2391	human resource management	0.4986	-0.2814	4	15	25	15	2007.7333	36.4667	0.8677
2396	human rights	-0.2418	-0.2426	2	10	16	13	2007.8462	18.3846	0.4875
2475	india	-0.3004	0.4852	1	22	40	24	2007.9167	20.4583	0.4993
2481	indicator	-0.7231	-0.6604	2	15	22	13	2007.6154	110.0769	2.4356
2550	innovation	-0.2331	-0.7034	2	30	60	44	2007.3182	31.0455	0.7387
2597	institutions	-0.8025	0.4973	3	11	18	13	2007.6923	43.1538	1.0135
2726	investments	0.8559	-0.8371	4	9	27	14	2008.1429	11.8571	0.279
2770	japan	0.6765	0.7393	1	13	22	13	2008.1538	14.1538	0.358
2876	latin america	-0.4949	-0.5312	2	10	15	13	2007.2308	62.6923	1.4549
2887	leadership	0.2217	-0.4246	3	20	50	31	2008.129	26.7742	0.6074
2908	legitimacy	-0.2644	0.905	1	20	32	16	2007.875	48.125	1.3158
3021	malaysia	0.7307	0.4798	1	14	25	13	2007.5385	35.9231	0.8058
3025	management	-0.5127	-0.2039	2	11	17	12	2007.5833	23.5833	0.5919
3105	marketing	-0.3663	-0.2255	2	15	24	15	2007.4667	78.6	1.6079
3300	multinational companies	-0.0707	0.5544	1	14	24	12	2007.5833	15.9167	0.3751
3301	multinational corporations	0.1029	0.7962	1	10	15	10	2007.4	62.9	1.4368
3415	new zealand	-0.1681	-0.9681	2	10	13	14	2008.0714	31	0.7059
3572	organizational culture	1.0495	0.2749	1	20	29	15	2007.9333	20	0.4962
3650	partnership	-0.2199	0.6071	1	16	29	15	2007.4	17.4667	0.3959
3729	philanthropy	0.7227	0.591	1	10	19	13	2007.6923	25.5385	0.7076
3847	poverty	-0.444	-0.156	3	10	16	11	2007.8182	40.0909	0.8475
3983	property	0.6901	-0.8617	4	12	31	14	2007.7143	19.9286	0.4629
4035	public relations	-0.3512	0.3206	1	10	20	10	2007.6	12.1	0.2788
4165	regional development	-0.4029	0.0557	3	13	16	10	2008.5	12.4	0.3237
4180	regulation	-0.216	0.3485	3	24	43	18	2007.1667	44.5	0.8867
4228	reputation	0.3311	0.7701	1	10	18	10	2008	55.4	1.4818
4336	risk management	-0.069	-0.6056	4	19	27	16	2007.375	68.625	1.8485
4538	sme	0.2307	-0.2701	1	33	72	37	2007.7027	67.5405	1.4988
4554	social capital	0.4082	-0.5617	3	15	26	21	2007	54.0476	1.133
4627	social responsibility	0.7341	-0.3666	4	54	135	79	2006.9873	55.3924	1.2923
4719	spain	0.5249	-0.073	1	17	25	15	2007.9333	57.9333	1.5336
4745	sri	0.5497	0.7997	1	14	25	17	2007.2941	39.2353	0.9261
4755	stakeholder	-0.0692	0.7283	1	30	90	65	2007.5231	59.5385	1.3809
4756	stakeholder analysis	0.7531	-0.0678	1	29	77	44	2007.3182	30.6136	0.6682
4765	stakeholder engagement	-0.3406	0.6755	1	14	26	11	2008.0909	44.8182	1.162
4770	stakeholder management	-0.434	0.7978	2	15	31	13	2007.4615	104.3846	2.5614
4783	stakeholder theory	0.2993	0.9297	1	11	25	15	2007.8667	101.3333	2.1712
4856	strategic management	0.3595	-0.1566	1	13	20	10	2007.8	24.2	0.5566
4913	supply chain	-0.4375	0.4257	1	8	18	12	2008.3333	95.5833	2.308
4915	supply chain management	0.1079	-0.6019	4	31	68	42	2007.9524	125.1905	3.0813
4927	sustainability	-0.7057	-0.0408	2	72	241	325	2007.5354	45.6523	1.1206
4968	sustainability report	-0.5561	0.5277	2	10	19	13	2007.8462	86.7692	2.2595
4989	sustainable design	0.4611	-0.8819	4	9	12	11	2007.5455	29.9091	0.6987
4991	sustainable development	-0.1749	-0.425	2	71	209	169	2007.3728	36.7692	0.8476
5138	thailand	-0.5048	0.1572	3	11	16	10	2007.9	38.6	0.8921
5295	trust	0.4038	-0.3062	3	15	21	18	2007.7222	54.3333	1.4601
5300	turkey	-0.3878	0.1377	3	15	22	10	2007.8	75.8	2.1588
5319	uncertainty	-0.9268	-0.6479	2	8	15	17	2007.4118	30.3529	0.6834
5339	united kingdom	0.7181	-0.5816	4	26	57	32	2006.8125	40.0938	0.8981
5343	united states	0.92	-0.4581	4	18	31	19	2007.8421	11.2105	0.2888
